smart_5_raw,smart_9_raw,smart_10_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_192_raw,smart_197_raw,smart_198_raw,failure,serial_number
0.0,18353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305B2QN
0.0,16656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305DEMG
0.0,28582.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Z3023VGH
0.0,18498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305DEMX
0.0,3629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z306WYZZ
0.0,22343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S300ZP5B
0.0,11299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z304XHJW
0.0,16178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305J0TE
0.0,19483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301NGZV
0.0,35854.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,Z300X922
0.0,23481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S3010M7R
0.0,23170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S3010M7H
0.0,19016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z3040J5T
0.0,23483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S3010M7E
0.0,17640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z3057728
0.0,16689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305NZMD
0.0,35882.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,Z300WG7Z
0.0,16173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305NZM9
0.0,17641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305AJF7
0.0,19989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301NGZ7
0.0,23170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S3010M78
0.0,19984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301NGZ8
0.0,21965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S3010M72
0.0,16172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305LG79
0.0,38207.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,Z300CWTK
0.0,21303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301GMGW
0.0,34748.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,Z3015LCH
0.0,37417.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,Z300PAB6
0.0,38833.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,W300JMQL
0.0,37413.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,Z300PAB5
0.0,19270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z304HQRL
0.0,32621.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,W300T22A
0.0,16154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305H41M
0.0,35022.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,Z300DPXN
0.0,19496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301GMGZ
0.0,16656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z305G2QK
0.0,19315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z304HQR4
0.0,19006.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,S301GMGY
0.0,19484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S301NYES
0.0,18323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Z304SY3R
